Product,Quantity,Price,Date,Address,Total
Lightning Charging Cable,1,14.95,2019-12-21 18:41:00,"68 Church St, Dallas, TX 75001",14.95
Lightning Charging Cable,1,14.95,2019-12-03 12:14:00,"362 Elm St, Boston, MA 02215",14.95
34in Ultrawide Monitor,1,379.99,2019-12-01 09:31:00,"750 Main St, Atlanta, GA 30301",379.99
ThinkPad Laptop,1,999.99,2019-12-07 20:06:00,"948 Meadow St, New York City, NY 10001",999.99
Wired Headphones,1,11.99,2019-12-13 15:15:00,"697 Spruce St, New York City, NY 10001",11.99
Apple Airpods Headphones,1,150.0,2019-12-20 00:17:00,"859 Cherry St, San Francisco, CA 94016",150.0
Lightning Charging Cable,1,14.95,2019-12-10 08:01:00,"993 8th St, Portland, OR 97035",14.95
27in 4K Gaming Monitor,1,389.99,2019-12-19 19:50:00,"703 5th St, Boston, MA 02215",389.99
AA Batteries (4-pack),1,3.84,2019-12-26 21:56:00,"808 Meadow St, Los Angeles, CA 90001",3.84
Macbook Pro Laptop,1,1700.0,2019-12-01 15:00:00,"881 Lincoln St, New York City, NY 10001",1700.0
Vareebadd Phone,1,400.0,2019-12-23 10:43:00,"916 Sunset St, San Francisco, CA 94016",400.0
AAA Batteries (4-pack),2,2.99,2019-12-10 15:25:00,"852 Lakeview St, New York City, NY 10001",5.98
Bose SoundSport Headphones,1,99.99,2019-12-05 22:06:00,"249 5th St, San Francisco, CA 94016",99.99
34in Ultrawide Monitor,1,379.99,2019-12-05 22:06:00,"249 5th St, San Francisco, CA 94016",379.99
USB-C Charging Cable,1,11.95,2019-12-16 05:40:00,"272 Spruce St, Los Angeles, CA 90001",11.95
USB-C Charging Cable,1,11.95,2019-12-19 19:28:00,"226 Jefferson St, New York City, NY 10001",11.95
Wired Headphones,1,11.99,2019-12-23 12:11:00,"34 8th St, Dallas, TX 75001",11.99
USB-C Charging Cable,2,11.95,2019-12-12 17:27:00,"354 River St, Atlanta, GA 30301",23.9
AAA Batteries (4-pack),1,2.99,2019-12-02 09:53:00,"629 14th St, Dallas, TX 75001",2.99
20in Monitor,1,109.99,2019-12-15 20:30:00,"380 Center St, Boston, MA 02215",109.99
USB-C Charging Cable,1,11.95,2019-12-31 20:41:00,"700 14th St, San Francisco, CA 94016",11.95
Lightning Charging Cable,2,14.95,2019-12-30 13:34:00,"598 Meadow St, Atlanta, GA 30301",29.9
Apple Airpods Headphones,1,150.0,2019-12-29 22:37:00,"651 Johnson St, Boston, MA 02215",150.0
Google Phone,1,600.0,2019-12-06 13:01:00,"882 Lake St, San Francisco, CA 94016",600.0
USB-C Charging Cable,1,11.95,2019-12-22 06:34:00,"348 Main St, San Francisco, CA 94016",11.95
USB-C Charging Cable,2,11.95,2019-12-20 19:55:00,"95 Willow St, New York City, NY 10001",23.9
USB-C Charging Cable,1,11.95,2019-12-25 15:14:00,"434 Highland St, San Francisco, CA 94016",11.95
Lightning Charging Cable,1,14.95,2019-12-25 18:18:00,"277 Madison St, San Francisco, CA 94016",14.95
USB-C Charging Cable,1,11.95,2019-12-29 08:53:00,"890 4th St, Seattle, WA 98101",11.95
USB-C Charging Cable,1,11.95,2019-12-16 22:41:00,"183 Cherry St, Los Angeles, CA 90001",11.95
Wired Headphones,1,11.99,2019-12-04 11:26:00,"735 Walnut St, Dallas, TX 75001",11.99
AAA Batteries (4-pack),1,2.99,2019-12-19 00:31:00,"188 West St, Boston, MA 02215",2.99
34in Ultrawide Monitor,1,379.99,2019-12-20 12:29:00,"105 Highland St, San Francisco, CA 94016",379.99
Wired Headphones,1,11.99,2019-12-03 19:43:00,"917 4th St, Portland, OR 97035",11.99
USB-C Charging Cable,1,11.95,2019-12-01 16:35:00,"989 Hickory St, San Francisco, CA 94016",11.95
Bose SoundSport Headphones,1,99.99,2019-12-02 12:18:00,"96 6th St, Boston, MA 02215",99.99
AA Batteries (4-pack),2,3.84,2019-12-07 00:04:00,"526 Elm St, Dallas, TX 75001",7.68
AAA Batteries (4-pack),1,2.99,2019-12-08 16:03:00,"158 Forest St, San Francisco, CA 94016",2.99
Apple Airpods Headphones,1,150.0,2019-12-25 06:41:00,"501 Willow St, Boston, MA 02215",150.0
Apple Airpods Headphones,1,150.0,2019-12-19 15:57:00,"488 Lincoln St, Atlanta, GA 30301",150.0
AA Batteries (4-pack),1,3.84,2019-12-17 20:42:00,"832 Pine St, Austin, TX 73301",3.84
Wired Headphones,1,11.99,2019-12-31 13:28:00,"922 Forest St, Los Angeles, CA 90001",11.99
Wired Headphones,1,11.99,2019-12-16 16:00:00,"206 14th St, Boston, MA 02215",11.99
USB-C Charging Cable,1,11.95,2019-12-31 10:30:00,"558 Meadow St, Los Angeles, CA 90001",11.95
USB-C Charging Cable,1,11.95,2019-12-17 22:59:00,"185 Lake St, New York City, NY 10001",11.95
AAA Batteries (4-pack),1,2.99,2019-12-11 17:23:00,"881 Jackson St, Boston, MA 02215",2.99
iPhone,1,700.0,2019-12-23 06:52:00,"38 6th St, Los Angeles, CA 90001",700.0
Apple Airpods Headphones,1,150.0,2019-12-23 06:52:00,"38 6th St, Los Angeles, CA 90001",150.0
LG Washing Machine,1,600.0,2019-12-19 16:49:00,"596 10th St, Boston, MA 02215",600.0
20in Monitor,1,109.99,2019-12-13 08:11:00,"699 Walnut St, San Francisco, CA 94016",109.99
Apple Airpods Headphones,1,150.0,2019-12-04 21:06:00,"246 Forest St, Dallas, TX 75001",150.0
Bose SoundSport Headphones,1,99.99,2019-12-03 00:48:00,"480 River St, Austin, TX 73301",99.99
iPhone,1,700.0,2019-12-22 07:52:00,"852 Willow St, San Francisco, CA 94016",700.0
34in Ultrawide Monitor,1,379.99,2019-12-08 20:21:00,"136 South St, Los Angeles, CA 90001",379.99
AAA Batteries (4-pack),2,2.99,2019-12-21 12:05:00,"474 Elm St, Los Angeles, CA 90001",5.98
AA Batteries (4-pack),1,3.84,2019-12-17 18:34:00,"937 Lincoln St, San Francisco, CA 94016",3.84
Apple Airpods Headphones,2,150.0,2019-12-11 22:41:00,"516 4th St, San Francisco, CA 94016",300.0
Apple Airpods Headphones,1,150.0,2019-12-21 15:28:00,"165 11th St, New York City, NY 10001",150.0
Wired Headphones,1,11.99,2019-12-03 19:30:00,"574 Johnson St, Boston, MA 02215",11.99
Google Phone,1,600.0,2019-12-26 13:13:00,"463 Sunset St, Boston, MA 02215",600.0
AAA Batteries (4-pack),1,2.99,2019-12-11 18:18:00,"315 Center St, Seattle, WA 98101",2.99
AAA Batteries (4-pack),2,2.99,2019-12-05 20:19:00,"316 Wilson St, San Francisco, CA 94016",5.98
AAA Batteries (4-pack),1,2.99,2019-12-15 21:16:00,"21 Johnson St, New York City, NY 10001",2.99
Bose SoundSport Headphones,1,99.99,2019-12-30 10:39:00,"951 Hickory St, New York City, NY 10001",99.99
Wired Headphones,1,11.99,2019-12-04 22:42:00,"452 Center St, Atlanta, GA 30301",11.99
AA Batteries (4-pack),2,3.84,2019-12-10 23:14:00,"383 Ridge St, San Francisco, CA 94016",7.68
USB-C Charging Cable,1,11.95,2019-12-02 09:36:00,"164 Jackson St, San Francisco, CA 94016",11.95
Lightning Charging Cable,1,14.95,2019-12-29 09:02:00,"228 9th St, Los Angeles, CA 90001",14.95
USB-C Charging Cable,1,11.95,2019-12-28 23:50:00,"647 Jackson St, San Francisco, CA 94016",11.95
20in Monitor,1,109.99,2019-12-12 15:40:00,"830 Ridge St, San Francisco, CA 94016",109.99
AA Batteries (4-pack),1,3.84,2019-12-22 17:02:00,"241 12th St, San Francisco, CA 94016",3.84
AA Batteries (4-pack),1,3.84,2019-12-19 19:35:00,"561 Dogwood St, Los Angeles, CA 90001",3.84
Lightning Charging Cable,1,14.95,2019-12-27 15:24:00,"91 Washington St, Los Angeles, CA 90001",14.95
Google Phone,1,600.0,2019-12-14 15:37:00,"321 Highland St, Los Angeles, CA 90001",600.0
27in 4K Gaming Monitor,1,389.99,2019-12-13 01:33:00,"764 Hill St, Boston, MA 02215",389.99
USB-C Charging Cable,1,11.95,2019-12-30 13:57:00,"301 1st St, San Francisco, CA 94016",11.95
AAA Batteries (4-pack),1,2.99,2019-12-09 23:22:00,"67 Wilson St, San Francisco, CA 94016",2.99
Wired Headphones,1,11.99,2019-12-26 13:01:00,"359 Main St, Portland, ME 04101",11.99
AA Batteries (4-pack),1,3.84,2019-12-22 16:10:00,"224 Ridge St, Los Angeles, CA 90001",3.84
AA Batteries (4-pack),3,3.84,2019-12-15 10:45:00,"116 Maple St, Austin, TX 73301",11.52
34in Ultrawide Monitor,1,379.99,2019-12-16 20:54:00,"905 Wilson St, San Francisco, CA 94016",379.99
AAA Batteries (4-pack),2,2.99,2019-12-05 19:21:00,"568 Spruce St, San Francisco, CA 94016",5.98
ThinkPad Laptop,1,999.99,2019-12-06 10:26:00,"746 11th St, Atlanta, GA 30301",999.99
Wired Headphones,2,11.99,2019-12-10 13:59:00,"772 Wilson St, Austin, TX 73301",23.98
AAA Batteries (4-pack),1,2.99,2019-12-08 21:22:00,"372 Meadow St, San Francisco, CA 94016",2.99
AAA Batteries (4-pack),4,2.99,2019-12-15 20:52:00,"619 9th St, Portland, OR 97035",11.96
Lightning Charging Cable,1,14.95,2019-12-17 09:08:00,"266 Lincoln St, Portland, OR 97035",14.95
Bose SoundSport Headphones,1,99.99,2019-12-01 16:38:00,"808 Ridge St, Atlanta, GA 30301",99.99
27in FHD Monitor,1,149.99,2019-12-31 20:09:00,"199 Forest St, Dallas, TX 75001",149.99
AA Batteries (4-pack),2,3.84,2019-12-31 17:53:00,"938 Walnut St, New York City, NY 10001",7.68
Wired Headphones,1,11.99,2019-12-06 13:47:00,"849 Madison St, Boston, MA 02215",11.99
Bose SoundSport Headphones,1,99.99,2019-12-18 18:41:00,"447 4th St, Los Angeles, CA 90001",99.99
Wired Headphones,1,11.99,2019-12-29 15:35:00,"678 13th St, Los Angeles, CA 90001",11.99
27in 4K Gaming Monitor,1,389.99,2019-12-14 09:37:00,"527 Pine St, Dallas, TX 75001",389.99
34in Ultrawide Monitor,1,379.99,2019-12-18 22:29:00,"559 Main St, San Francisco, CA 94016",379.99
iPhone,1,700.0,2019-12-05 12:32:00,"461 13th St, Boston, MA 02215",700.0
Bose SoundSport Headphones,1,99.99,2019-12-26 04:36:00,"384 1st St, San Francisco, CA 94016",99.99
AAA Batteries (4-pack),1,2.99,2019-12-25 13:09:00,"961 Elm St, Los Angeles, CA 90001",2.99
Apple Airpods Headphones,1,150.0,2019-12-22 16:28:00,"178 North St, New York City, NY 10001",150.0
USB-C Charging Cable,1,11.95,2019-12-23 17:07:00,"5 Hickory St, Atlanta, GA 30301",11.95
Apple Airpods Headphones,1,150.0,2019-12-03 20:26:00,"452 1st St, Dallas, TX 75001",150.0
AA Batteries (4-pack),1,3.84,2019-12-19 12:37:00,"222 Park St, Boston, MA 02215",3.84
USB-C Charging Cable,1,11.95,2019-12-13 02:00:00,"187 2nd St, San Francisco, CA 94016",11.95
Lightning Charging Cable,1,14.95,2019-12-16 21:55:00,"133 Spruce St, Dallas, TX 75001",14.95
ThinkPad Laptop,1,999.99,2019-12-15 09:07:00,"224 4th St, New York City, NY 10001",999.99
Bose SoundSport Headphones,1,99.99,2019-12-22 11:25:00,"419 Jefferson St, Los Angeles, CA 90001",99.99
27in 4K Gaming Monitor,1,389.99,2019-12-01 13:46:00,"457 11th St, San Francisco, CA 94016",389.99
Lightning Charging Cable,1,14.95,2019-12-08 21:28:00,"732 1st St, Dallas, TX 75001",14.95
AA Batteries (4-pack),2,3.84,2019-12-15 12:30:00,"215 Ridge St, Seattle, WA 98101",7.68
USB-C Charging Cable,1,11.95,2019-12-09 21:36:00,"68 Hill St, Los Angeles, CA 90001",11.95
Wired Headphones,1,11.99,2019-12-31 16:37:00,"243 10th St, Atlanta, GA 30301",11.99
Lightning Charging Cable,1,14.95,2019-12-17 12:10:00,"440 Wilson St, Austin, TX 73301",14.95
USB-C Charging Cable,1,11.95,2019-12-09 20:30:00,"388 Cherry St, Austin, TX 73301",11.95
USB-C Charging Cable,1,11.95,2019-12-21 16:16:00,"518 Park St, San Francisco, CA 94016",11.95
34in Ultrawide Monitor,1,379.99,2019-12-04 09:22:00,"629 6th St, San Francisco, CA 94016",379.99
iPhone,1,700.0,2019-12-27 21:28:00,"133 River St, Austin, TX 73301",700.0
AAA Batteries (4-pack),4,2.99,2019-12-31 19:57:00,"525 Adams St, Atlanta, GA 30301",11.96
Wired Headphones,1,11.99,2019-12-06 04:45:00,"413 Ridge St, San Francisco, CA 94016",11.99
AAA Batteries (4-pack),1,2.99,2019-12-04 16:05:00,"815 7th St, San Francisco, CA 94016",2.99
AA Batteries (4-pack),2,3.84,2019-12-02 18:36:00,"450 14th St, Los Angeles, CA 90001",7.68
AA Batteries (4-pack),1,3.84,2019-12-18 16:27:00,"510 Maple St, Portland, OR 97035",3.84
AAA Batteries (4-pack),1,2.99,2019-12-04 08:57:00,"488 10th St, San Francisco, CA 94016",2.99
Lightning Charging Cable,1,14.95,2019-12-07 15:35:00,"900 Lakeview St, New York City, NY 10001",14.95
AAA Batteries (4-pack),1,2.99,2019-12-12 17:39:00,"948 Wilson St, Los Angeles, CA 90001",2.99
iPhone,1,700.0,2019-12-09 14:42:00,"431 4th St, Los Angeles, CA 90001",700.0
Apple Airpods Headphones,1,150.0,2019-12-26 14:19:00,"804 10th St, Dallas, TX 75001",150.0
Macbook Pro Laptop,1,1700.0,2019-12-04 19:19:00,"399 8th St, San Francisco, CA 94016",1700.0
Lightning Charging Cable,1,14.95,2019-12-06 18:35:00,"715 Walnut St, Austin, TX 73301",14.95
20in Monitor,1,109.99,2019-12-15 14:01:00,"39 4th St, Boston, MA 02215",109.99
Flatscreen TV,1,300.0,2019-12-22 15:20:00,"250 5th St, Dallas, TX 75001",300.0
27in FHD Monitor,1,149.99,2019-12-17 15:16:00,"798 8th St, San Francisco, CA 94016",149.99
Lightning Charging Cable,1,14.95,2019-12-04 13:15:00,"198 Sunset St, Boston, MA 02215",14.95
Wired Headphones,2,11.99,2019-12-29 12:43:00,"938 Hill St, Dallas, TX 75001",23.98
ThinkPad Laptop,1,999.99,2019-12-04 13:21:00,"376 Sunset St, San Francisco, CA 94016",999.99
USB-C Charging Cable,1,11.95,2019-12-21 14:58:00,"774 Sunset St, San Francisco, CA 94016",11.95
AA Batteries (4-pack),1,3.84,2019-12-03 02:11:00,"866 13th St, San Francisco, CA 94016",3.84
USB-C Charging Cable,1,11.95,2019-12-21 18:06:00,"858 4th St, San Francisco, CA 94016",11.95
USB-C Charging Cable,1,11.95,2019-12-20 21:17:00,"768 Wilson St, Austin, TX 73301",11.95
Apple Airpods Headphones,1,150.0,2019-12-31 18:11:00,"122 North St, San Francisco, CA 94016",150.0
AA Batteries (4-pack),3,3.84,2019-12-01 07:23:00,"625 Chestnut St, Austin, TX 73301",11.52
Macbook Pro Laptop,1,1700.0,2019-12-04 12:46:00,"713 9th St, Atlanta, GA 30301",1700.0
AA Batteries (4-pack),1,3.84,2019-12-09 18:24:00,"194 West St, Atlanta, GA 30301",3.84
USB-C Charging Cable,1,11.95,2019-12-19 13:29:00,"680 10th St, San Francisco, CA 94016",11.95
AAA Batteries (4-pack),1,2.99,2019-12-17 14:36:00,"787 Center St, Portland, OR 97035",2.99
Lightning Charging Cable,1,14.95,2019-12-17 14:36:00,"787 Center St, Portland, OR 97035",14.95
34in Ultrawide Monitor,1,379.99,2019-12-10 21:05:00,"465 Willow St, Seattle, WA 98101",379.99
Apple Airpods Headphones,1,150.0,2019-12-22 12:41:00,"43 Cherry St, Portland, OR 97035",150.0
34in Ultrawide Monitor,1,379.99,2019-12-10 10:54:00,"330 4th St, New York City, NY 10001",379.99
USB-C Charging Cable,1,11.95,2019-12-31 09:06:00,"145 West St, New York City, NY 10001",11.95
Google Phone,1,600.0,2019-12-04 18:57:00,"507 North St, Austin, TX 73301",600.0
Wired Headphones,1,11.99,2019-12-04 18:57:00,"507 North St, Austin, TX 73301",11.99
AA Batteries (4-pack),1,3.84,2019-12-13 14:03:00,"626 4th St, Los Angeles, CA 90001",3.84
USB-C Charging Cable,1,11.95,2019-12-18 19:57:00,"891 1st St, Portland, OR 97035",11.95
Lightning Charging Cable,1,14.95,2019-12-18 15:59:00,"720 Sunset St, Austin, TX 73301",14.95
Apple Airpods Headphones,1,150.0,2019-12-08 22:33:00,"713 2nd St, San Francisco, CA 94016",150.0
USB-C Charging Cable,1,11.95,2019-12-26 13:57:00,"940 Hickory St, Boston, MA 02215",11.95
iPhone,1,700.0,2019-12-14 07:38:00,"41 Main St, Los Angeles, CA 90001",700.0
Lightning Charging Cable,1,14.95,2019-12-14 07:38:00,"41 Main St, Los Angeles, CA 90001",14.95
AA Batteries (4-pack),1,3.84,2019-12-21 21:20:00,"293 Elm St, Los Angeles, CA 90001",3.84
AAA Batteries (4-pack),2,2.99,2019-12-09 22:10:00,"863 5th St, Los Angeles, CA 90001",5.98
AA Batteries (4-pack),1,3.84,2019-12-22 21:02:00,"45 Cedar St, San Francisco, CA 94016",3.84
AAA Batteries (4-pack),1,2.99,2019-12-08 22:04:00,"509 Forest St, Los Angeles, CA 90001",2.99
USB-C Charging Cable,1,11.95,2019-12-04 22:07:00,"343 Walnut St, Seattle, WA 98101",11.95
AA Batteries (4-pack),1,3.84,2019-12-31 23:12:00,"459 Park St, Dallas, TX 75001",3.84
USB-C Charging Cable,1,11.95,2019-12-10 10:21:00,"921 8th St, Los Angeles, CA 90001",11.95
USB-C Charging Cable,1,11.95,2019-12-01 18:24:00,"566 Jackson St, Atlanta, GA 30301",11.95
AA Batteries (4-pack),1,3.84,2019-12-02 21:25:00,"288 Pine St, Seattle, WA 98101",3.84
Macbook Pro Laptop,1,1700.0,2019-12-11 14:43:00,"542 Cedar St, San Francisco, CA 94016",1700.0
Apple Airpods Headphones,1,150.0,2019-12-30 10:03:00,"148 Cherry St, Austin, TX 73301",150.0
AAA Batteries (4-pack),1,2.99,2019-12-30 10:03:00,"148 Cherry St, Austin, TX 73301",2.99
Lightning Charging Cable,1,14.95,2019-12-11 18:07:00,"170 9th St, Austin, TX 73301",14.95
Vareebadd Phone,1,400.0,2019-12-11 18:07:00,"170 9th St, Austin, TX 73301",400.0
AAA Batteries (4-pack),1,2.99,2019-12-17 14:55:00,"446 Wilson St, Dallas, TX 75001",2.99
Lightning Charging Cable,1,14.95,2019-12-08 13:57:00,"442 Lake St, Atlanta, GA 30301",14.95
34in Ultrawide Monitor,1,379.99,2019-12-21 17:17:00,"182 Cherry St, Los Angeles, CA 90001",379.99
AAA Batteries (4-pack),1,2.99,2019-12-02 08:31:00,"262 4th St, Los Angeles, CA 90001",2.99
iPhone,1,700.0,2019-12-25 23:03:00,"572 Center St, Austin, TX 73301",700.0
Google Phone,1,600.0,2019-12-23 19:27:00,"700 Lakeview St, Atlanta, GA 30301",600.0
Lightning Charging Cable,1,14.95,2019-12-04 13:36:00,"494 Ridge St, San Francisco, CA 94016",14.95
Apple Airpods Headphones,1,150.0,2019-12-24 21:33:00,"986 Park St, Boston, MA 02215",150.0
Bose SoundSport Headphones,1,99.99,2019-12-14 11:14:00,"841 Forest St, New York City, NY 10001",99.99
USB-C Charging Cable,1,11.95,2019-12-12 09:20:00,"273 Forest St, Atlanta, GA 30301",11.95
USB-C Charging Cable,1,11.95,2019-12-13 18:03:00,"316 Jefferson St, Boston, MA 02215",11.95
iPhone,1,700.0,2019-12-01 11:16:00,"85 13th St, Los Angeles, CA 90001",700.0
27in 4K Gaming Monitor,1,389.99,2019-12-17 16:23:00,"547 5th St, Atlanta, GA 30301",389.99
Apple Airpods Headphones,1,150.0,2019-12-20 12:35:00,"204 Elm St, New York City, NY 10001",150.0
Wired Headphones,1,11.99,2019-12-18 08:38:00,"628 Spruce St, San Francisco, CA 94016",11.99
AA Batteries (4-pack),1,3.84,2019-12-13 20:28:00,"421 Sunset St, San Francisco, CA 94016",3.84
ThinkPad Laptop,1,999.99,2019-12-22 10:18:00,"270 Highland St, San Francisco, CA 94016",999.99
Lightning Charging Cable,1,14.95,2019-12-07 22:16:00,"450 South St, San Francisco, CA 94016",14.95
20in Monitor,1,109.99,2019-12-17 22:20:00,"237 Main St, San Francisco, CA 94016",109.99
AA Batteries (4-pack),1,3.84,2019-12-15 19:05:00,"344 2nd St, New York City, NY 10001",3.84
AAA Batteries (4-pack),1,2.99,2019-12-08 14:13:00,"128 Wilson St, New York City, NY 10001",2.99
Google Phone,1,600.0,2019-12-24 11:22:00,"154 Hickory St, Atlanta, GA 30301",600.0
20in Monitor,1,109.99,2019-12-05 13:21:00,"532 Elm St, San Francisco, CA 94016",109.99
Wired Headphones,1,11.99,2019-12-22 23:41:00,"46 Washington St, New York City, NY 10001",11.99
Vareebadd Phone,1,400.0,2019-12-17 20:42:00,"267 Meadow St, San Francisco, CA 94016",400.0
ThinkPad Laptop,1,999.99,2019-12-29 15:24:00,"127 Forest St, Seattle, WA 98101",999.99
34in Ultrawide Monitor,1,379.99,2019-12-26 17:26:00,"748 Elm St, San Francisco, CA 94016",379.99
USB-C Charging Cable,1,11.95,2019-12-22 12:38:00,"549 Park St, San Francisco, CA 94016",11.95
Macbook Pro Laptop,1,1700.0,2019-12-18 20:17:00,"379 Maple St, San Francisco, CA 94016",1700.0
Lightning Charging Cable,1,14.95,2019-12-19 19:06:00,"211 8th St, Boston, MA 02215",14.95
27in FHD Monitor,1,149.99,2019-12-28 14:40:00,"565 South St, San Francisco, CA 94016",149.99
Wired Headphones,1,11.99,2019-12-14 17:31:00,"224 Highland St, San Francisco, CA 94016",11.99
27in FHD Monitor,1,149.99,2019-12-07 15:29:00,"790 8th St, New York City, NY 10001",149.99
AAA Batteries (4-pack),2,2.99,2019-12-15 20:36:00,"71 Jackson St, Los Angeles, CA 90001",5.98
AAA Batteries (4-pack),2,2.99,2019-12-29 19:49:00,"349 Cherry St, Los Angeles, CA 90001",5.98
LG Washing Machine,1,600.0,2019-12-11 08:39:00,"522 12th St, Portland, OR 97035",600.0
AAA Batteries (4-pack),1,2.99,2019-12-23 19:21:00,"883 Center St, New York City, NY 10001",2.99
Wired Headphones,1,11.99,2019-12-09 12:06:00,"449 6th St, Dallas, TX 75001",11.99
Wired Headphones,1,11.99,2019-12-03 19:22:00,"534 Adams St, Seattle, WA 98101",11.99
Bose SoundSport Headphones,1,99.99,2019-12-23 13:48:00,"865 Jackson St, Los Angeles, CA 90001",99.99
Lightning Charging Cable,1,14.95,2019-12-04 11:33:00,"119 Madison St, Boston, MA 02215",14.95
Flatscreen TV,1,300.0,2019-12-04 11:33:00,"119 Madison St, Boston, MA 02215",300.0
ThinkPad Laptop,1,999.99,2019-12-22 08:58:00,"956 Lake St, San Francisco, CA 94016",999.99
Lightning Charging Cable,1,14.95,2019-12-11 23:04:00,"388 Highland St, Los Angeles, CA 90001",14.95
Wired Headphones,1,11.99,2019-12-23 17:56:00,"340 11th St, Dallas, TX 75001",11.99
Apple Airpods Headphones,1,150.0,2019-12-07 09:32:00,"212 Willow St, Los Angeles, CA 90001",150.0
Google Phone,1,600.0,2019-12-14 12:24:00,"41 Highland St, Atlanta, GA 30301",600.0
Apple Airpods Headphones,1,150.0,2019-12-20 10:48:00,"25 12th St, Austin, TX 73301",150.0
USB-C Charging Cable,2,11.95,2019-12-10 08:32:00,"846 Hickory St, Los Angeles, CA 90001",23.9
USB-C Charging Cable,1,11.95,2019-12-23 20:45:00,"351 Cherry St, New York City, NY 10001",11.95
USB-C Charging Cable,2,11.95,2019-12-31 23:16:00,"601 South St, New York City, NY 10001",23.9
AA Batteries (4-pack),1,3.84,2019-12-09 16:43:00,"624 13th St, Portland, OR 97035",3.84
Macbook Pro Laptop,1,1700.0,2019-12-30 17:37:00,"84 Washington St, Seattle, WA 98101",1700.0
27in FHD Monitor,1,149.99,2019-12-27 18:37:00,"414 6th St, Boston, MA 02215",149.99
Wired Headphones,1,11.99,2019-12-09 18:25:00,"628 Spruce St, Seattle, WA 98101",11.99
Lightning Charging Cable,1,14.95,2019-12-20 21:44:00,"822 River St, Atlanta, GA 30301",14.95
Bose SoundSport Headphones,1,99.99,2019-12-10 12:38:00,"543 12th St, Los Angeles, CA 90001",99.99
Wired Headphones,3,11.99,2019-12-20 11:56:00,"78 Johnson St, Los Angeles, CA 90001",35.97
AAA Batteries (4-pack),1,2.99,2019-12-31 00:13:00,"424 Cedar St, San Francisco, CA 94016",2.99
Flatscreen TV,1,300.0,2019-12-31 19:49:00,"273 River St, Dallas, TX 75001",300.0
Google Phone,1,600.0,2019-12-17 23:52:00,"179 2nd St, Boston, MA 02215",600.0
Bose SoundSport Headphones,1,99.99,2019-12-17 23:52:00,"179 2nd St, Boston, MA 02215",99.99
AA Batteries (4-pack),1,3.84,2019-12-19 19:37:00,"674 11th St, Seattle, WA 98101",3.84
Flatscreen TV,1,300.0,2019-12-10 04:49:00,"387 Hill St, Seattle, WA 98101",300.0
AA Batteries (4-pack),1,3.84,2019-12-06 12:09:00,"807 Sunset St, Los Angeles, CA 90001",3.84
Apple Airpods Headphones,1,150.0,2019-12-17 17:21:00,"960 Spruce St, Atlanta, GA 30301",150.0
